pwm,rpm
-700,253.83274660890257
-600,217.1994979408241
-550,199.21621438462205
-500,180.43773899356023
-450,162.11247866722888
-400,143.81734596194278
-350,125.44152420622561
-300,106.99756304201293
-250,88.56246429445127
-200,70.0432749813228
-150,51.485648618149526
-100,32.90809259643114
-50,14.290437746112898
-40,10.49559155021996
-30,6.894472436143053
-20,3.3360831620105933
-15,0.8357168128010695
-10,0.035665840338525955
700,-251.10724694828002
600,-214.99391955870487
500,-178.81956284053578
440,-157.2096151380993
400,-142.53399682671036
360,-128.00720777608893
320,-113.3650972535522
280,-98.85204162070517
240,-84.19035116236726
200,-69.645266218814
180,-62.27872691463289
140,-47.58499689381161
120,-40.21176996434078
80,-25.291931031106298
15,-0.5113168611317199
10,-0.00601137405980554
20,-2.9787197186462695
30,-6.675872159764804
40,-10.467